skill,country,currency,symbol,avg_salary,job_count,salary_formatted
machine learning,India,INR,₹,1575650.0,8,"₹1,575,650"
docker,India,INR,₹,1550000.0,2,"₹1,550,000"
kubernetes,India,INR,₹,1550000.0,2,"₹1,550,000"
mlops,India,INR,₹,1441667.0,6,"₹1,441,667"
mysql,India,INR,₹,1320000.0,2,"₹1,320,000"
r,India,INR,₹,1275000.0,2,"₹1,275,000"
mongodb,India,INR,₹,1225000.0,2,"₹1,225,000"
python,India,INR,₹,1152260.0,20,"₹1,152,260"
ci/cd,India,INR,₹,1125000.0,2,"₹1,125,000"
aws,India,INR,₹,1115000.0,5,"₹1,115,000"
flask,India,INR,₹,1097600.0,2,"₹1,097,600"
scala,India,INR,₹,1046875.0,8,"₹1,046,875"
sql,India,INR,₹,972500.0,4,"₹972,500"
django,India,INR,₹,873000.0,5,"₹873,000"
fastapi,India,INR,₹,775000.0,5,"₹775,000"
azure,India,INR,₹,637500.0,2,"₹637,500"
postgresql,India,INR,₹,496667.0,3,"₹496,667"
nlp,USA,USD,$,219276.0,2,"$219,276"
statistics,USA,USD,$,182577.0,6,"$182,577"
django,USA,USD,$,176730.0,3,"$176,730"
r,USA,USD,$,161794.0,4,"$161,794"
kubernetes,USA,USD,$,159377.0,3,"$159,377"
leadership,USA,USD,$,140191.0,22,"$140,191"
java,USA,USD,$,140029.0,10,"$140,029"
problem solving,USA,USD,$,134775.0,3,"$134,775"
agile,USA,USD,$,134332.0,2,"$134,332"
python,USA,USD,$,133673.0,35,"$133,673"
generative ai,USA,USD,$,132283.0,10,"$132,283"
teamwork,USA,USD,$,131581.0,16,"$131,581"
typescript,USA,USD,$,128783.0,6,"$128,783"
aws,USA,USD,$,126729.0,12,"$126,729"
sql,USA,USD,$,123060.0,8,"$123,060"
scala,USA,USD,$,122798.0,20,"$122,798"
machine learning,USA,USD,$,121470.0,37,"$121,470"
etl,USA,USD,$,120681.0,6,"$120,681"
mlops,USA,USD,$,119363.0,17,"$119,363"
snowflake,USA,USD,$,117825.0,3,"$117,825"
postgresql,USA,USD,$,114927.0,3,"$114,927"
model deployment,USA,USD,$,112968.0,2,"$112,968"
data wrangling,USA,USD,$,110611.0,2,"$110,611"
data analysis,USA,USD,$,110560.0,21,"$110,560"
ci/cd,USA,USD,$,107750.0,4,"$107,750"
computer vision,USA,USD,$,103620.0,3,"$103,620"
communication,USA,USD,$,102929.0,10,"$102,929"
javascript,USA,USD,$,102261.0,2,"$102,261"
airflow,USA,USD,$,102261.0,2,"$102,261"
azure,USA,USD,$,90343.0,4,"$90,343"
gcp,USA,USD,$,87745.0,2,"$87,745"
project management,USA,USD,$,83093.0,2,"$83,093"
power bi,USA,USD,$,76836.0,2,"$76,836"
